T-Mobile Park,77,50
Oracle Park,39,172
Oakland Coliseum,39,172
Dodger Stadium,68,232
Angels Stadium of Anaheim,68,232
Petco Park,80,250
Chase Field,134,254
Coors Field,218,178
Kauffman Stadium,328,194
Globe Life Park in Arlington,300,278
Minute Maid Park,316,320
Busch Stadium,366,198
Target Field,336,112
Wrigley Field,390,152
Guaranteed Rate Field,390,152
Miller Park,388,134
Great America Ball Park,432,184
Comerica Park,434,140
Progressive Field,450,152
PNC Park,474,160
Rogers Centre,474,112
Truist Park,440,258
Tropicana Field,474,330
Marlins Park,498,356
Fenway Park,552,118
Yankee Stadium,532,144
Citi Field,532,144
Citizens Bank Park,518,156
Camden Yards,506,170
Nationals Park,506,170