SafeCo Field,Rogers Centre,2070
SafeCo Field,Target Field,1390
SafeCo Field,AT&T Park,680
SafeCo Field,O.co Coliseum,680
AT&T Park,Dodger Stadium,340
AT&T Park,Angels Stadium of Anaheim,340
O.co Coliseum,Dodger Stadium,340
O.co Coliseum,Angels Stadium of Anaheim,340
AT&T Park,Chase Field,650
O.co Coliseum,Chase Field,650
Dodger Stadium,Petco Park,110
Angels Stadium of Anaheim,Petco Park,110
Dodger Stadium,Target Field,1500
Angels Stadium of Anaheim,Target Field,1500
Petco Park,Coors Field,830
Petco Park,Chase Field,300
Chase Field,Coors Field,580
Chase Field,Globe Life Park in Arlington,870
Chase Field,Minute Maid Park,1115
Coors Field,Globe Life Park in Arlington,650
Globe Life Park in Arlington,Minute Maid Park,230
Coors Field,Kauffman Stadium,560
Globe Life Park in Arlington,Kauffman Stadium,460
Globe Life Park in Arlington,Turner Field,740
Minute Maid Park,Busch Stadium,680
Minute Maid Park,Tropicana Field,790
Minute Maid Park,Marlins Park,965
Tropicana Field,Marlins Park,210
Kauffman Stadium,Busch Stadium,235
Target Field,Busch Stadium,465
Kauffman Stadium,US Cellular Field,415
Kauffman Stadium,Wrigley Field,415
Target Field,Miller Park,300
Miller Park,US Cellular Field,80
Miller Park,Wrigley Field,80
Miller Park,Rogers Centre,430
US Cellular Field,Comerica Park,240
Wrigley Field,Comerica Park,240
Comerica Park,Progressive Field,90
US Cellular Field,Great America Ball Park,250
Wrigley Field,Great America Ball Park,250
Busch Stadium,Great America Ball Park,310
Great America Ball Park,Progressive Field,225
Great America Ball Park,PNC Park,260
Progressive Field,PNC Park,115
Great America Ball Park,Turner Field,375
Turner Field,Marlins Park,600
Great America Ball Park,Tropicana Field,790
Turner Field,Oriole Park at Camden Yards,560
Turner Field,Nationals Park,560
Marlins Park,Oriole Park at Camden Yards,930
Marlins Park,Nationals Park,930
Marlins Park,Fenway Park,1255
PNC Park,Nationals Park,195
PNC Park,Oriole Park at Camden Yards,195
Nationals Park,Citizens Bank Park,90
Oriole Park at Camden Yards,Citizens Bank Park,90
Citizens Bank Park,Yankee Stadium,80
Citizens Bank Park,Citi Field,80
PNC Park,Yankee Stadium,315
PNC Park,Citi Field,315
Yankee Stadium,Fenway Park,195
Citi Field,Fenway Park,195
Comerica Park,Rogers Centre,210
PNC Park,Rogers Centre,225
Rogers Centre,Fenway Park,430